sensor_key,sensor_description,value,last_shared_date,period(min)
CO@1_0_8,House 1_Floor_Global_Electric_CumReactEnergy,1560.0,2024-06-05 13:47:29,15.0
CO@1_0_80,House 1_Floor1_Kitchen_Electric_Lights_CumEnergy,,,
CO@1_0_82,House 1_Floor1_Hallway_Electric_Lights_Control,,,
CO@1_0_83,House 1_Floor1_Hallway_Electric_Lights_Status,0.0,2024-05-23 09:55:33,
CO@1_0_85,House 1_Floor1_Hallway_Electric_Lights_Current,0.0,2024-05-23 09:55:37,
CO@1_0_86,House 1_Floor1_Hallway_Electric_Lights_Power,0.0,2024-05-23 09:55:37,
CO@1_0_88,House 1_Floor1_Hallway_Electric_Lights_CumEnergy,,,
CO@1_0_9,House 1_Floor_Global_Electric_ACFrequency,50.03999710083008,2024-06-05 13:55:04,65.4
CO@1_1_11,House 1_Floor1_Bathroom_Electric_Radiator_Current,,,
CO@1_1_12,House 1_Floor1_Bathroom_Electric_Radiator_Power,,,
CO@1_1_14,House 1_Floor1_Bathroom_Electric_Radiator_CumEnergy,,,
CO@1_1_8,House 1_Floor1_Bathroom_Electric_Radiator_Control,,,
CO@1_1_9,House 1_Floor1_Bathroom_Electric_Radiator_Status,,,
CO@1_2_0,House 1_Floor_Global_Gas_Volume,587.989990234375,2024-06-05 13:46:35,15.0
CO@1_3_0,House 1_Floor_Global_Water_Meter_Volume,951.5,2024-06-05 13:56:16,5.0
CO@1_3_1,House 1_Floor_Global_Water_Meter_Flow,0.0,2024-06-05 13:56:16,5.0
CO@1_3_10,House 1_Floor1_Kitchen_Water_SinkCold_Temp,9.700000000000001,2024-06-04 14:31:52,
CO@1_3_11,House 1_Floor1_Kitchen_Water_SinkHot_Volume,2.9006878211523713e-43,2024-05-07 08:49:58,
CO@1_3_12,House 1_Floor1_Kitchen_Water_SinkHot_Flow,261.76,2024-05-07 08:50:06,
CO@1_3_13,House 1_Floor1_Kitchen_Water_SinkHot_Temp,7.8,2024-06-05 11:49:22,
CO@1_3_20,House 1_Floor1_Bathroom_Water_SinkCold_Volume,1.5414283107572988e-44,2024-03-14 09:33:55,
CO@1_3_21,House 1_Floor1_Bathroom_Water_SinkCold_Flow,0.0,2024-05-07 08:29:45,
CO@1_3_22,House 1_Floor1_Bathroom_Water_SinkCold_Temp,10.4,2024-06-04 00:53:08,
CO@1_3_23,House 1_Floor1_Bathroom_Water_SinkHot_Volume,9.80908925027372e-45,2024-03-14 09:33:44,
CO@1_3_24,House 1_Floor1_Bathroom_Water_SinkHot_Flow,0.0,2024-03-14 09:34:01,
CO@1_3_25,House 1_Floor1_Bathroom_Water_SinkHot_Temp,7.5,2024-06-05 10:36:17,2788.3
CO@1_3_26,House 1_Floor1_Bathroom_Water_BathCold_Volume,3.923635700109488e-44,2024-03-14 09:33:56,
